Rank,NOC,Gold,Silver,Bronze,Total,Year
1,0,11,7,2,20,0
2,1,10,18,19,47,0
3,2,6,5,2,13,0
4,3,5,4,2,11,0
5,4,2,3,2,7,0
6,5,2,1,3,6,0
7,6,2,1,2,5,0
8,7,2,0,0,2,0
9,8,1,2,3,6,0
10,9,1,2,0,3,0
11,10,1,0,1,2,0
1,3,27,39,37,103,1
2,0,19,14,15,48,1
3,4,15,7,9,31,1
4,10,8,5,6,19,1
5,11,6,7,4,17,1
6,9,6,2,1,9,1
7,2,4,3,2,9,1
8,12,3,2,0,5,1
9,7,2,0,3,5,1
10,8,1,3,2,6,1
11,5,1,2,2,5,1
12,13,1,1,0,2,1
13,14,1,0,1,2,1
14,15,1,0,0,1,1
14,16,1,0,0,1,1
16,6,0,3,3,6,1
17,17,0,2,3,5,1
17,18,0,2,3,5,1
19,19,0,2,0,2,1
20,20,0,1,1,2,1
21,21,0,0,1,1,1
1,0,76,78,77,231,2
2,2,4,5,6,15,2
3,14,4,1,1,6,2
4,13,3,0,0,3,2
5,5,2,1,1,4,2
5,10,2,1,1,4,2
7,17,2,0,0,2,2
8,6,1,1,1,3,2
9,4,1,1,0,2,2
10,9,1,0,2,3,2
11,1,1,0,1,2,2
12,7,0,3,1,4,2
13,3,0,1,0,1,2
1,4,56,51,39,146,3
2,0,23,12,12,47,3
3,21,8,6,11,25,3
4,3,5,5,9,19,3
5,2,3,5,5,13,3
6,5,3,4,2,9,3
7,14,3,3,10,16,3
8,17,2,3,3,8,3
9,12,2,2,0,4,3
10,11,1,5,2,8,3
11,22,1,2,2,5,3
12,23,1,2,0,3,3
13,24,1,1,3,5,3
14,25,1,1,0,2,3
15,1,0,3,1,4,3
16,8,0,2,3,5,3
17,20,0,0,2,2,3
17,18,0,0,2,2,3
19,6,0,0,1,1,3
1,0,26,19,19,64,4
2,21,23,25,17,65,4
3,4,10,15,16,41,4
4,24,9,8,9,26,4
5,3,7,4,3,14,4
6,2,5,13,7,25,4
7,25,4,2,0,6,4
8,17,3,2,5,10,4
9,14,3,2,3,8,4
9,5,3,2,3,8,4
11,12,3,1,2,6,4
12,22,2,2,3,7,4
13,11,2,1,3,6,4
14,8,1,6,5,12,4
15,1,1,0,1,2,4
16,23,0,2,3,5,4
17,6,0,2,2,4,4
18,18,0,0,3,3,4
1,0,41,27,27,95,5
2,21,19,20,25,64,5
3,24,15,10,9,34,5
4,4,14,15,13,42,5
5,11,14,11,11,36,5
6,17,13,9,9,31,5
7,12,13,5,5,23,5
8,3,9,19,13,41,5
9,18,4,2,5,11,5
10,8,3,9,1,13,5
11,25,3,4,3,10,5
12,14,3,3,3,9,5
13,9,2,2,7,11,5
14,26,1,2,0,3,5
15,27,1,1,1,3,5
16,7,0,2,1,3,5
17,28,0,2,0,2,5
17,15,0,2,0,2,5
19,1,0,1,0,1,5
19,16,0,1,0,1,5
21,29,0,0,2,2,5
22,30,0,0,1,1,5
1,0,45,27,27,99,6
2,24,14,13,10,37,6
3,3,13,15,10,38,6
4,4,9,13,12,34,6
5,12,8,3,5,16,6
6,9,7,8,10,25,6
7,17,5,2,3,10,6
8,21,4,13,12,29,6
9,18,4,1,5,10,6
10,11,3,7,3,13,6
11,7,3,1,2,6,6
12,8,2,5,2,9,6
13,5,2,3,4,9,6
14,31,2,0,0,2,6
15,29,1,4,5,10,6
16,32,1,3,2,6,6
17,26,1,1,4,6,6
18,25,1,1,1,3,6
19,33,1,0,0,1,6
20,6,0,3,1,4,6
20,14,0,3,1,4,6
22,34,0,1,1,2,6
23,35,0,0,1,1,6
23,28,0,0,1,1,6
23,30,0,0,1,1,6
23,36,0,0,1,1,6
23,37,0,0,1,1,6
1,0,22,18,16,56,7
2,2,10,7,14,31,7
3,24,8,8,9,25,7
4,21,7,6,12,25,7
5,12,7,5,7,19,7
6,9,7,4,4,15,7
7,3,6,10,5,21,7
8,18,6,9,4,19,7
9,5,4,5,0,9,7
10,14,4,4,7,15,7
11,4,3,10,7,20,7
12,32,3,3,1,7,7
13,8,3,1,2,6,7
14,29,2,5,2,9,7
15,28,2,2,1,5,7
16,26,2,1,2,5,7
17,38,2,1,1,4,7
18,6,2,0,1,3,7
19,7,1,2,1,4,7
19,17,1,2,1,4,7
21,34,1,1,3,5,7
21,31,1,1,3,5,7
23,25,1,0,2,3,7
24,19,1,0,0,1,7
24,39,1,0,0,1,7
24,30,1,0,0,1,7
24,15,1,0,0,1,7
24,33,1,0,0,1,7
29,11,0,1,2,3,7
30,40,0,1,0,1,7
30,35,0,1,0,1,7
32,41,0,0,1,1,7
32,36,0,0,1,1,7
1,42,44,36,30,110,8
2,43,12,12,12,36,8
3,44,11,5,4,20,8
4,45,10,5,9,24,8
5,46,7,7,4,18,8
6,47,6,5,5,16,8
7,48,5,12,7,24,8
8,49,5,8,12,25,8
9,50,5,7,5,17,8
10,51,3,2,4,9,8
11,52,3,1,1,5,8
12,53,3,1,0,4,8
13,54,2,5,9,16,8
14,55,2,5,1,8,8
15,56,2,0,3,5,8
16,57,2,0,0,2,8
17,58,1,3,2,6,8
18,59,1,1,3,5,8
19,60,1,0,0,1,8
20,61,0,5,3,8,8
21,62,0,2,0,2,8
22,63,0,1,0,1,8
22,64,0,1,0,1,8
22,65,0,1,0,1,8
25,66,0,0,3,3,8
26,67,0,0,1,1,8
26,68,0,0,1,1,8
26,69,0,0,1,1,8
1,2,38,31,32,101,9
2,0,24,21,12,57,9
3,5,10,1,5,16,9
4,12,9,13,5,27,9
5,24,8,6,6,20,9
6,3,7,6,6,19,9
7,21,6,5,10,21,9
8,28,6,4,10,20,9
9,18,6,4,7,17,9
10,6,5,7,5,17,9
11,9,4,9,5,18,9
12,4,4,7,3,14,9
13,29,3,5,1,9,9
14,32,2,2,3,7,9
14,26,2,2,3,7,9
16,38,2,1,2,5,9
17,14,1,3,5,9,9
18,17,1,3,2,6,9
19,70,1,0,1,2,9
20,19,1,0,0,1,9
20,30,1,0,0,1,9
22,34,0,4,5,9,9
23,8,0,2,3,5,9
24,71,0,1,1,2,9
25,37,0,1,0,1,9
25,25,0,1,0,1,9
25,31,0,1,0,1,9
28,11,0,0,3,3,9
28,72,0,0,3,3,9
30,7,0,0,1,1,9
30,41,0,0,1,1,9
30,36,0,0,1,1,9
1,0,38,27,19,84,10
2,21,16,11,17,44,10
3,3,10,6,13,29,10
4,5,10,5,12,27,10
5,12,8,11,8,27,10
6,24,8,7,5,20,10
7,70,6,4,2,12,10
8,29,6,2,3,11,10
9,9,5,10,5,20,10
10,8,5,7,8,20,10
11,18,5,2,9,16,10
12,4,3,14,6,23,10
13,32,3,3,1,7,10
14,7,2,6,5,13,10
15,11,2,2,3,7,10
16,38,2,2,1,5,10
17,72,2,1,2,5,10
18,25,2,1,1,4,10
19,17,1,3,3,7,10
20,73,1,2,0,3,10
21,6,1,0,3,4,10
22,19,1,0,0,1,10
22,74,1,0,0,1,10
24,31,0,2,0,2,10
25,14,0,1,2,3,10
26,36,0,1,1,2,10
26,33,0,1,1,2,10
28,75,0,1,0,1,10
28,13,0,1,0,1,10
28,15,0,1,0,1,10
28,76,0,1,0,1,10
32,77,0,0,2,2,10
32,78,0,0,2,2,10
34,27,0,0,1,1,10
34,79,0,0,1,1,10
34,34,0,0,1,1,10
34,80,0,0,1,1,10
1,0,40,19,17,76,11
2,81,22,30,19,71,11
3,5,16,10,16,42,11
4,21,12,13,10,35,11
5,12,8,9,4,21,11
6,29,7,3,3,13,11
7,3,6,6,6,18,11
8,24,6,3,13,22,11
9,7,6,2,3,11,11
10,17,3,2,0,5,11
11,9,2,6,6,14,11
12,25,2,4,4,10,11
13,73,2,3,0,5,11
14,11,2,2,0,4,11
15,8,2,1,3,6,11
16,70,2,0,1,3,11
17,28,1,6,2,9,11
18,4,1,2,8,11,11
19,32,1,2,2,5,11
20,34,1,2,1,4,11
21,14,1,2,0,3,11
21,31,1,2,0,3,11
23,37,1,1,2,4,11
24,27,1,0,2,3,11
24,30,1,0,2,3,11
26,19,1,0,1,2,11
27,16,1,0,0,1,11
28,2,0,7,17,24,11
29,18,0,5,0,5,11
30,79,0,3,4,7,11
31,40,0,2,0,2,11
32,6,0,1,1,2,11
32,82,0,1,1,2,11
34,39,0,1,0,1,11
34,72,0,1,0,1,11
34,15,0,1,0,1,11
37,78,0,0,2,2,11
37,76,0,0,2,2,11
37,33,0,0,2,2,11
40,83,0,0,1,1,11
40,38,0,0,1,1,11
40,36,0,0,1,1,11
40,84,0,0,1,1,11
1,81,37,29,32,98,12
2,0,32,25,17,74,12
3,7,13,8,14,35,12
4,5,9,10,7,26,12
5,12,8,8,9,25,12
6,21,8,5,6,19,12
7,85,6,13,7,26,12
8,4,6,7,11,24,12
9,37,5,3,5,13,12
10,28,4,10,5,19,12
11,3,4,4,6,14,12
12,70,3,2,2,7,12
13,24,3,1,11,15,12
14,79,2,2,1,5,12
15,14,2,1,3,6,12
16,30,2,0,0,2,12
17,34,1,4,4,9,12
18,29,1,4,1,6,12
19,83,1,3,1,5,12
20,8,1,2,1,4,12
21,39,1,1,3,5,12
22,17,1,0,2,3,12
23,72,1,0,1,2,12
24,27,1,0,0,1,12
24,19,1,0,0,1,12
26,31,0,3,0,3,12
27,40,0,2,2,4,12
28,11,0,2,0,2,12
29,32,0,1,1,2,12
29,78,0,1,1,2,12
31,86,0,1,0,1,12
31,87,0,1,0,1,12
33,25,0,0,4,4,12
34,6,0,0,2,2,12
35,88,0,0,1,1,12
35,1,0,0,1,1,12
35,9,0,0,1,1,12
35,33,0,0,1,1,12
1,89,43,29,31,103,13
2,42,34,21,16,71,13
3,43,13,10,13,36,13
4,90,12,19,11,42,13
5,52,8,8,6,22,13
6,91,7,2,0,9,13
7,47,6,8,7,21,13
8,46,4,7,7,18,13
9,51,4,6,11,21,13
10,58,3,2,3,8,13
11,92,3,1,6,10,13
12,50,2,6,12,20,13
13,61,2,3,1,6,13
14,64,2,0,1,3,13
15,93,1,3,3,7,13
16,45,1,2,3,6,13
17,49,1,1,3,5,13
18,59,1,1,0,2,13
18,94,1,1,0,2,13
20,95,1,0,1,2,13
21,96,1,0,0,1,13
21,97,1,0,0,1,13
21,98,1,0,0,1,13
24,65,0,3,3,6,13
25,44,0,2,3,5,13
26,67,0,2,2,4,13
27,99,0,1,3,4,13
28,55,0,1,2,3,13
28,56,0,1,2,3,13
30,53,0,1,1,2,13
30,100,0,1,1,2,13
32,54,0,1,0,1,13
32,101,0,1,0,1,13
32,102,0,1,0,1,13
32,60,0,1,0,1,13
32,103,0,1,0,1,13
32,104,0,1,0,1,13
32,105,0,1,0,1,13
39,106,0,0,2,2,13
39,107,0,0,2,2,13
41,108,0,0,1,1,13
41,62,0,0,1,1,13
41,68,0,0,1,1,13
41,109,0,0,1,1,13
1,0,36,26,28,90,14
2,81,30,31,35,96,14
3,28,16,5,8,29,14
4,85,10,22,18,50,14
5,12,10,10,7,27,14
6,5,10,7,5,22,14
7,34,7,6,10,23,14
8,7,6,2,10,18,14
9,29,5,6,3,14,14
10,4,4,12,2,18,14
11,83,3,5,2,10,14
12,24,3,0,2,5,14
12,30,3,0,2,5,14
14,37,2,4,6,12,14
15,18,2,4,4,10,14
16,70,2,3,1,6,14
17,21,2,2,4,8,14
18,8,2,1,3,6,14
19,31,2,1,2,5,14
20,11,2,0,1,3,14
21,3,1,8,6,15,14
22,14,1,2,1,4,14
22,9,1,2,1,4,14
24,88,1,0,0,1,14
24,110,1,0,0,1,14
24,19,1,0,0,1,14
27,78,0,2,1,3,14
28,76,0,1,2,3,14
29,111,0,1,1,2,14
30,32,0,1,0,1,14
30,13,0,1,0,1,14
30,87,0,1,0,1,14
30,41,0,1,0,1,14
34,79,0,0,2,2,14
35,27,0,0,1,1,14
35,112,0,0,1,1,14
35,39,0,0,1,1,14
35,113,0,0,1,1,14
35,72,0,0,1,1,14
35,114,0,0,1,1,14
35,33,0,0,1,1,14
1,0,45,28,34,107,15
2,81,29,32,30,91,15
3,28,11,7,7,25,15
4,5,10,10,12,32,15
5,115,9,9,7,25,15
6,3,7,3,5,15,15
7,29,7,2,4,13,15
8,116,5,11,10,26,15
9,7,5,7,5,17,15
10,4,5,5,3,13,15
11,34,5,2,11,18,15
12,37,4,6,5,15,15
13,12,3,4,9,16,15
14,113,3,4,2,9,15
15,72,3,3,3,9,15
16,31,3,3,2,8,15
17,18,3,3,1,7,15
18,83,2,4,3,9,15
19,79,2,1,2,5,15
20,21,2,1,1,4,15
21,70,2,0,0,2,15
22,8,1,4,3,8,15
23,14,1,3,1,5,15
24,24,1,2,1,4,15
25,110,1,1,0,2,15
25,17,1,1,0,2,15
27,30,1,0,2,3,15
28,111,1,0,1,2,15
29,87,1,0,0,1,15
29,84,1,0,0,1,15
31,13,0,4,0,4,15
32,6,0,2,2,4,15
33,9,0,1,4,5,15
34,117,0,1,3,4,15
35,27,0,1,2,3,15
36,11,0,1,1,2,15
36,78,0,1,1,2,15
36,118,0,1,1,2,15
39,119,0,1,0,1,15
39,73,0,1,0,1,15
41,32,0,0,2,2,15
42,1,0,0,1,1,15
42,19,0,0,1,1,15
42,120,0,0,1,1,15
1,81,50,27,22,99,16
2,0,33,31,30,94,16
3,115,20,23,23,66,16
4,116,13,11,16,40,16
5,28,13,8,8,29,16
6,7,8,7,2,17,16
7,34,7,5,9,21,16
8,5,6,13,16,35,16
9,83,6,10,5,21,16
10,12,5,3,10,18,16
11,21,4,6,6,16,16
12,4,4,5,9,18,16
13,37,3,6,7,16,16
14,13,3,1,4,8,16
14,24,3,1,4,8,16
16,18,3,1,1,5,16
17,3,2,4,7,13,16
18,29,2,4,2,8,16
19,113,2,3,4,9,16
20,31,2,1,2,5,16
21,17,2,1,1,4,16
22,121,1,1,3,5,16
23,30,1,1,1,3,16
24,118,1,1,0,2,16
25,8,1,0,0,1,16
26,9,0,3,0,3,16
27,14,0,2,3,5,16
28,79,0,2,1,3,16
29,11,0,2,0,2,16
29,1,0,2,0,2,16
31,6,0,1,2,3,16
31,122,0,1,2,3,16
33,32,0,1,0,1,16
33,82,0,1,0,1,16
33,72,0,1,0,1,16
33,117,0,1,0,1,16
33,87,0,1,0,1,16
33,78,0,1,0,1,16
33,111,0,1,0,1,16
33,70,0,1,0,1,16
41,27,0,0,2,2,16
41,110,0,0,2,2,16
43,112,0,0,1,1,16
43,19,0,0,1,1,16
43,73,0,0,1,1,16
43,123,0,0,1,1,16
43,114,0,0,1,1,16
43,15,0,0,1,1,16
1,81,49,41,35,125,17
2,115,40,25,25,90,17
3,0,34,35,25,94,17
4,116,10,12,17,39,17
5,28,9,6,10,25,17
6,34,7,6,13,26,17
7,83,6,9,7,22,17
8,13,6,4,3,13,17
9,37,4,9,14,27,17
10,5,4,5,13,22,17
11,24,4,2,0,6,17
12,21,4,1,0,5,17
13,4,3,5,5,13,17
14,12,2,7,4,13,17
15,3,2,3,4,9,17
16,31,2,3,3,8,17
17,29,2,2,4,8,17
18,30,2,1,1,4,17
19,78,1,1,4,6,17
20,9,1,1,2,4,17
21,73,1,1,0,2,17
21,121,1,1,0,2,17
21,17,1,1,0,2,17
24,8,1,0,2,3,17
25,72,1,0,1,2,17
26,76,1,0,0,1,17
27,14,0,5,6,11,17
28,11,0,3,3,6,17
29,18,0,2,3,5,17
30,36,0,2,0,2,17
30,15,0,2,0,2,17
32,7,0,1,4,5,17
33,79,0,1,1,2,17
34,117,0,1,0,1,17
34,84,0,1,0,1,17
36,27,0,0,2,2,17
37,6,0,0,1,1,17
37,124,0,0,1,1,17
37,87,0,0,1,1,17
37,80,0,0,1,1,17
37,125,0,0,1,1,17
1,81,80,69,46,195,18
2,115,47,37,42,126,18
3,83,8,16,17,41,18
4,13,8,7,5,20,18
5,12,8,3,4,15,18
6,5,7,10,15,32,18
7,37,6,6,13,25,18
8,3,6,5,3,14,18
9,4,5,7,9,21,18
10,34,3,14,15,32,18
11,21,3,3,6,12,18
12,24,3,1,4,8,18
13,29,2,3,9,14,18
14,31,2,3,4,9,18
15,7,2,2,5,9,18
16,8,2,1,2,5,18
17,27,2,0,2,4,18
17,110,2,0,2,4,18
19,9,2,0,0,2,18
20,15,1,3,2,6,18
21,6,1,2,1,4,18
22,1,1,0,2,3,18
23,11,1,0,0,1,18
23,19,1,0,0,1,18
23,126,1,0,0,1,18
26,121,0,3,2,5,18
27,117,0,2,2,4,18
28,127,0,2,0,2,18
29,72,0,1,3,4,18
30,18,0,1,2,3,18
31,39,0,1,1,2,18
32,118,0,1,0,1,18
32,84,0,1,0,1,18
34,73,0,0,3,3,18
35,128,0,0,1,1,18
35,82,0,0,1,1,18
1,0,83,61,30,174,19
2,37,20,16,17,53,19
3,116,17,19,23,59,19
4,129,15,8,9,32,19
5,12,14,6,12,32,19
6,14,10,18,16,44,19
7,28,10,8,14,32,19
8,30,8,1,2,11,19
9,31,7,4,7,18,19
10,78,6,6,7,19,19
11,4,5,11,21,37,19
12,3,5,7,16,28,19
13,18,5,2,6,13,19
14,7,4,8,12,24,19
15,24,4,2,6,12,19
16,21,2,11,6,19,19
17,72,2,3,1,6,19
18,130,2,0,0,2,19
19,27,1,5,2,8,19
20,15,1,2,2,5,19
21,11,1,1,2,4,19
22,6,1,1,1,3,19
23,113,1,0,2,3,19
23,36,1,0,2,3,19
25,87,1,0,0,1,19
26,9,0,4,4,8,19
27,8,0,3,3,6,19
28,73,0,1,2,3,19
28,17,0,1,2,3,19
30,1,0,1,1,2,19
30,114,0,1,1,2,19
30,80,0,1,1,2,19
33,122,0,1,0,1,19
33,38,0,1,0,1,19
33,39,0,1,0,1,19
33,131,0,1,0,1,19
33,74,0,1,0,1,19
33,132,0,1,0,1,19
33,125,0,1,0,1,19
40,70,0,0,3,3,19
40,84,0,0,3,3,19
42,133,0,0,2,2,19
43,119,0,0,1,1,19
43,134,0,0,1,1,19
43,135,0,0,1,1,19
43,86,0,0,1,1,19
43,136,0,0,1,1,19
1,81,55,31,46,132,20
2,115,37,35,30,102,20
3,0,36,31,27,94,20
4,78,12,10,11,33,20
5,116,11,14,15,40,20
6,5,11,6,6,23,20
7,83,10,12,13,35,20
8,37,7,11,6,24,20
9,3,6,4,6,16,20
10,12,6,4,4,14,20
11,129,5,11,12,28,20
12,4,5,10,9,24,20
13,113,5,2,2,9,20
14,28,4,3,7,14,20
15,7,3,6,5,14,20
16,31,3,4,5,12,20
17,29,3,3,2,8,20
18,30,3,2,8,13,20
19,14,3,2,5,10,20
20,34,2,5,9,16,20
21,17,2,3,0,5,20
22,18,2,2,5,9,20
23,8,2,1,1,4,20
24,27,1,2,3,6,20
25,24,1,1,2,4,20
25,15,1,1,2,4,20
27,70,1,1,0,2,20
28,130,1,0,2,3,20
29,6,1,0,0,1,20
29,36,1,0,0,1,20
29,137,1,0,0,1,20
32,21,0,4,7,11,20
33,9,0,2,2,4,20
34,73,0,2,0,2,20
35,32,0,1,1,2,20
36,40,0,1,0,1,20
36,138,0,1,0,1,20
36,139,0,1,0,1,20
36,79,0,1,0,1,20
36,140,0,1,0,1,20
36,74,0,1,0,1,20
36,141,0,1,0,1,20
36,142,0,1,0,1,20
44,11,0,0,2,2,20
44,72,0,0,2,2,20
46,122,0,0,1,1,20
46,143,0,0,1,1,20
46,1,0,0,1,1,20
46,117,0,0,1,1,20
46,87,0,0,1,1,20
46,41,0,0,1,1,20
46,125,0,0,1,1,20
1,144,45,38,29,112,21
2,0,37,34,37,108,21
3,2,33,21,28,82,21
4,129,16,22,16,54,21
5,13,14,6,11,31,21
6,15,13,7,2,22,21
7,78,12,5,12,29,21
8,5,11,12,7,30,21
9,3,8,5,16,29,21
10,7,7,9,11,27,21
11,14,7,4,7,18,21
12,12,6,5,8,19,21
13,4,5,3,12,20,21
14,37,4,6,8,18,21
15,29,4,2,1,7,21
16,121,4,0,5,9,21
17,28,3,8,11,22,21
18,83,3,7,6,16,21
19,34,3,6,10,19,21
20,18,2,6,7,15,21
21,113,2,4,2,8,21
22,17,2,4,1,7,21
23,70,2,2,2,6,21
24,139,2,2,1,5,21
25,27,2,1,0,3,21
26,1,2,0,0,2,21
27,21,1,7,4,12,21
28,30,1,4,5,10,21
29,24,1,2,2,5,21
30,8,1,1,4,6,21
31,130,1,1,1,3,21
32,39,1,1,0,2,21
33,110,1,0,2,3,21
34,133,1,0,1,2,21
34,26,1,0,1,2,21
34,145,1,0,1,2,21
37,9,1,0,0,1,21
38,73,0,3,1,4,21
